alpha,defense,attack,n,loss_mean,loss_std,avg_rank
1,Mean,ALIE,5,0.02916000,0.00036469,3.2500
1,Mean,FangAttack,5,0.02938000,0.00040866,3.2500
1,Mean,MinMax,5,0.02834000,0.00039115,3.2500
1,Mean,MinSum,5,0.02828000,0.00055408,3.2500
1,NormClipping,ALIE,5,0.04762000,0.00053572,7.0000
1,NormClipping,FangAttack,5,0.05012000,0.00039623,7.0000
1,NormClipping,MinMax,5,0.04838000,0.00038987,7.0000
1,NormClipping,MinSum,5,0.04850000,0.00030000,7.0000
1,TrimmedMean,ALIE,3,0.02626667,0.00045092,1.0000
1,TrimmedMean,FangAttack,3,0.02430000,0.00045826,1.0000
1,TrimmedMean,MinMax,3,0.02410000,0.00026458,1.0000
1,TrimmedMean,MinSum,3,0.02403333,0.00025166,1.0000
1,MultiKrum,ALIE,5,0.03612000,0.00058907,5.0000
1,MultiKrum,FangAttack,5,0.03774000,0.00052249,5.0000
1,MultiKrum,MinMax,5,0.02946000,0.00049295,5.0000
1,MultiKrum,MinSum,5,0.03012000,0.00090111,5.0000
1,FLTrust,ALIE,3,0.03626667,0.00155027,5.5000
1,FLTrust,FangAttack,3,0.03753333,0.00150444,5.5000
1,FLTrust,MinMax,3,0.03440000,0.00081854,5.5000
1,FLTrust,MinSum,3,0.03463333,0.00130128,5.5000
1,FLDetector,ALIE,5,0.03046000,0.00041593,4.2500
1,FLDetector,FangAttack,5,0.04496000,0.00346958,4.2500
1,FLDetector,MinMax,5,0.02826000,0.00058566,4.2500
1,FLDetector,MinSum,5,0.02844000,0.00033615,4.2500
1,CARAT,ALIE,3,0.02786667,0.00100167,2.0000
1,CARAT,FangAttack,3,0.02560000,0.00079373,2.0000
1,CARAT,MinMax,3,0.02546667,0.00046188,2.0000
1,CARAT,MinSum,3,0.02523333,0.00092916,2.0000
0.5,Mean,ALIE,5,0.03028000,0.00054037,3.2500
0.5,Mean,FangAttack,5,0.03024000,0.00064265,3.2500
0.5,Mean,MinMax,5,0.02928000,0.00014832,3.2500
0.5,Mean,MinSum,5,0.02932000,0.00042071,3.2500
0.5,NormClipping,ALIE,5,0.04864000,0.00046152,7.0000
0.5,NormClipping,FangAttack,5,0.05170000,0.00109545,7.0000
0.5,NormClipping,MinMax,5,0.04966000,0.00045056,7.0000
0.5,NormClipping,MinSum,5,0.04980000,0.00040000,7.0000
0.5,TrimmedMean,ALIE,3,0.02643333,0.00049329,1.0000
0.5,TrimmedMean,FangAttack,3,0.02573333,0.00060277,1.0000
0.5,TrimmedMean,MinMax,3,0.02476667,0.00060277,1.0000
0.5,TrimmedMean,MinSum,3,0.02476667,0.00061101,1.0000
0.5,MultiKrum,ALIE,5,0.03820000,0.00079687,5.0000
0.5,MultiKrum,FangAttack,5,0.04068000,0.00100598,5.0000
0.5,MultiKrum,MinMax,5,0.03062000,0.00062610,5.0000
0.5,MultiKrum,MinSum,5,0.03078000,0.00058907,5.0000
0.5,FLTrust,ALIE,3,0.03960000,0.00052915,5.5000
0.5,FLTrust,FangAttack,3,0.04026667,0.00051316,5.5000
0.5,FLTrust,MinMax,3,0.03620000,0.00020000,5.5000
0.5,FLTrust,MinSum,3,0.03613333,0.00020817,5.5000
0.5,FLDetector,ALIE,5,0.03194000,0.00040988,4.2500
0.5,FLDetector,FangAttack,5,0.04578000,0.00111221,4.2500
0.5,FLDetector,MinMax,5,0.02938000,0.00040866,4.2500
0.5,FLDetector,MinSum,5,0.02922000,0.00046583,4.2500
0.5,CARAT,ALIE,3,0.02850000,0.00115326,2.0000
0.5,CARAT,FangAttack,3,0.02723333,0.00075719,2.0000
0.5,CARAT,MinMax,3,0.02576667,0.00083267,2.0000
0.5,CARAT,MinSum,3,0.02583333,0.00037859,2.0000
