alpha,attack,defense,source,cfg,seed,exp,epoch,test_acc,test_acc_pct,test_loss,path
1,ALIE,CARAT,final_locked_protocol,FedAvg_CIFAR100_Resnet18_protocol,42,0,199,0.521800,52.1800,0.027100,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_CARAT_200_20_0.05_FedAvg_adv0.2_seed42_alpha1_cfgFedAvg_CIFAR100_Resnet18_protocol_exp0.txt
1,ALIE,CARAT,final_locked_protocol,FedAvg_CIFAR100_Resnet18_protocol,43,1,199,0.493200,49.3200,0.029000,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_CARAT_200_20_0.05_FedAvg_adv0.2_seed43_alpha1_cfgFedAvg_CIFAR100_Resnet18_protocol_exp1.txt
1,ALIE,CARAT,final_locked_protocol,FedAvg_CIFAR100_Resnet18_protocol,44,2,199,0.524900,52.4900,0.027500,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_CARAT_200_20_0.05_FedAvg_adv0.2_seed44_alpha1_cfgFedAvg_CIFAR100_Resnet18_protocol_exp2.txt
1,ALIE,FLDetector,legacy_public_baseline,FedAvg_CIFAR100_config,42,0,199,0.480000,48.0000,0.030200,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_FLDetector_200_20_0.05_FedAvg_adv0.2_seed42_alpha1_cfgFedAvg_CIFAR100_config_exp0.txt
1,ALIE,FLDetector,legacy_public_baseline,FedAvg_CIFAR100_config,43,1,199,0.484900,48.4900,0.030000,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_FLDetector_200_20_0.05_FedAvg_adv0.2_seed43_alpha1_cfgFedAvg_CIFAR100_config_exp1.txt
1,ALIE,FLDetector,legacy_public_baseline,FedAvg_CIFAR100_config,44,2,199,0.485600,48.5600,0.030300,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_FLDetector_200_20_0.05_FedAvg_adv0.2_seed44_alpha1_cfgFedAvg_CIFAR100_config_exp2.txt
1,ALIE,FLDetector,legacy_public_baseline,FedAvg_CIFAR100_config,45,3,199,0.474600,47.4600,0.030900,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_FLDetector_200_20_0.05_FedAvg_adv0.2_seed45_alpha1_cfgFedAvg_CIFAR100_config_exp3.txt
1,ALIE,FLDetector,legacy_public_baseline,FedAvg_CIFAR100_config,46,4,199,0.472700,47.2700,0.030900,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_FLDetector_200_20_0.05_FedAvg_adv0.2_seed46_alpha1_cfgFedAvg_CIFAR100_config_exp4.txt
1,ALIE,FLTrust,final_locked_protocol,FedAvg_CIFAR100_Resnet18_protocol,42,0,199,0.410900,41.0900,0.034700,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_FLTrust_200_20_0.05_FedAvg_adv0.2_seed42_alpha1_cfgFedAvg_CIFAR100_Resnet18_protocol_exp0.txt
1,ALIE,FLTrust,final_locked_protocol,FedAvg_CIFAR100_Resnet18_protocol,43,1,199,0.373600,37.3600,0.037800,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_FLTrust_200_20_0.05_FedAvg_adv0.2_seed43_alpha1_cfgFedAvg_CIFAR100_Resnet18_protocol_exp1.txt
1,ALIE,FLTrust,final_locked_protocol,FedAvg_CIFAR100_Resnet18_protocol,44,2,199,0.390700,39.0700,0.036300,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_FLTrust_200_20_0.05_FedAvg_adv0.2_seed44_alpha1_cfgFedAvg_CIFAR100_Resnet18_protocol_exp2.txt
1,ALIE,Mean,legacy_public_baseline,FedAvg_CIFAR100_config,42,0,199,0.494500,49.4500,0.029000,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_Mean_200_20_0.05_FedAvg_adv0.2_seed42_alpha1_cfgFedAvg_CIFAR100_config_exp0.txt
1,ALIE,Mean,legacy_public_baseline,FedAvg_CIFAR100_config,43,1,199,0.496800,49.6800,0.028900,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_Mean_200_20_0.05_FedAvg_adv0.2_seed43_alpha1_cfgFedAvg_CIFAR100_config_exp1.txt
1,ALIE,Mean,legacy_public_baseline,FedAvg_CIFAR100_config,44,2,199,0.496800,49.6800,0.029100,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_Mean_200_20_0.05_FedAvg_adv0.2_seed44_alpha1_cfgFedAvg_CIFAR100_config_exp2.txt
1,ALIE,Mean,legacy_public_baseline,FedAvg_CIFAR100_config,45,3,199,0.487500,48.7500,0.029800,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_Mean_200_20_0.05_FedAvg_adv0.2_seed45_alpha1_cfgFedAvg_CIFAR100_config_exp3.txt
1,ALIE,Mean,legacy_public_baseline,FedAvg_CIFAR100_config,46,4,199,0.495700,49.5700,0.029000,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_Mean_200_20_0.05_FedAvg_adv0.2_seed46_alpha1_cfgFedAvg_CIFAR100_config_exp4.txt
1,ALIE,MultiKrum,legacy_public_baseline,FedAvg_CIFAR100_config,42,0,199,0.400700,40.0700,0.035900,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_MultiKrum_200_20_0.05_FedAvg_adv0.2_seed42_alpha1_cfgFedAvg_CIFAR100_config_exp0.txt
