dataset,model,iid,attack,defense,algo,epochs_cfg,num_clients,lr,adv,alpha,seed,expid,max_epoch,drop_reason,cause,cause_detail,segment_file,source_out,source_err,segment_has_training_finished
CIFAR10,vgg19,iid,FangAttack,FLDetector,FedAvg,200,20,0.05,0.3,NA,45,3,42,max_epoch_lt_target,time_limit,slurm time limit,/home/fengye/scratch/FL_Poison/logs_from_slurm_split_20260312/FedAvg/CIFAR10_vgg19/iid/CIFAR10_vgg19_iid_FangAttack_FLDetector_200_20_0.05_FedAvg_adv0.3_seed45_cfgFedAvg_CIFAR10_config_exp3.txt,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_56.out,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_56.err,False
CIFAR10,vgg19,iid,FangAttack,FLTrust,FedAvg,200,20,0.05,0.3,NA,45,3,110,max_epoch_lt_target,time_limit,slurm time limit,/home/fengye/scratch/FL_Poison/logs_from_slurm_split_20260312/FedAvg/CIFAR10_vgg19/iid/CIFAR10_vgg19_iid_FangAttack_FLTrust_200_20_0.05_FedAvg_adv0.3_seed45_cfgFedAvg_CIFAR10_config_exp3.txt,/home/fengye/slurm/compute_canada_flpoison_CIFAR10_FLTrust.sh_24044490_9.out,/home/fengye/slurm/compute_canada_flpoison_CIFAR10_FLTrust.sh_24044490_9.err,False
CIFAR10,vgg19,iid,FangAttack,Mean,FedAvg,200,20,0.05,0.3,NA,45,3,146,max_epoch_lt_target,time_limit,slurm time limit,/home/fengye/scratch/FL_Poison/logs_from_slurm_split_20260312/FedAvg/CIFAR10_vgg19/iid/CIFAR10_vgg19_iid_FangAttack_Mean_200_20_0.05_FedAvg_adv0.3_seed45_cfgFedAvg_CIFAR10_config_exp3.txt,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_54.out,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_54.err,False
CIFAR10,vgg19,iid,FangAttack,MultiKrum,FedAvg,200,20,0.05,0.3,NA,45,3,84,max_epoch_lt_target,time_limit,slurm time limit,/home/fengye/scratch/FL_Poison/logs_from_slurm_split_20260312/FedAvg/CIFAR10_vgg19/iid/CIFAR10_vgg19_iid_FangAttack_MultiKrum_200_20_0.05_FedAvg_adv0.3_seed45_cfgFedAvg_CIFAR10_config_exp3.txt,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_58.out,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_58.err,False
CIFAR10,vgg19,iid,FangAttack,NormClipping,FedAvg,200,20,0.05,0.3,NA,45,3,46,max_epoch_lt_target,time_limit,slurm time limit,/home/fengye/scratch/FL_Poison/logs_from_slurm_split_20260312/FedAvg/CIFAR10_vgg19/iid/CIFAR10_vgg19_iid_FangAttack_NormClipping_200_20_0.05_FedAvg_adv0.3_seed45_cfgFedAvg_CIFAR10_config_exp3.txt,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_59.out,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_59.err,False
CIFAR10,vgg19,iid,FangAttack,TriGuardFL,FedAvg,200,20,0.05,0.3,NA,45,3,65,max_epoch_lt_target,time_limit,slurm time limit,/home/fengye/scratch/FL_Poison/logs_from_slurm_split_20260312/FedAvg/CIFAR10_vgg19/iid/CIFAR10_vgg19_iid_FangAttack_TriGuardFL_200_20_0.05_FedAvg_adv0.3_seed45_cfgFedAvg_CIFAR10_config_exp3.txt,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_55.out,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_55.err,False
CIFAR10,vgg19,iid,MinMax,FLDetector,FedAvg,200,20,0.05,0.1,NA,46,4,196,max_epoch_lt_target,time_limit,slurm time limit,/home/fengye/scratch/FL_Poison/logs_from_slurm_split_20260312/FedAvg/CIFAR10_vgg19/iid/CIFAR10_vgg19_iid_MinMax_FLDetector_200_20_0.05_FedAvg_adv0.1_seed46_cfgFedAvg_CIFAR10_config_exp4.txt,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24542800_8.out,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24542800_8.err,False
CIFAR10,vgg19,iid,NoAttack,FLDetector,FedAvg,200,20,0.05,0.2,NA,44,2,133,max_epoch_lt_target,python_error,IndexError: slice() cannot be applied to a 0-dim tensor.,/home/fengye/scratch/FL_Poison/logs_from_slurm_split_20260312/FedAvg/CIFAR10_vgg19/iid/CIFAR10_vgg19_iid_NoAttack_FLDetector_200_20_0.05_FedAvg_adv0.2_seed44_cfgFedAvg_CIFAR10_config_exp2.txt,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_2.out,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_2.err,False
CIFAR10,vgg19,non-iid,FangAttack,FLDetector,FedAvg,200,20,0.05,0.3,0.1,45,3,124,max_epoch_lt_target,time_limit,slurm time limit,/home/fengye/scratch/FL_Poison/logs_from_slurm_split_20260312/FedAvg/CIFAR10_vgg19/non-iid/CIFAR10_vgg19_non-iid_FangAttack_FLDetector_200_20_0.05_FedAvg_adv0.3_seed45_alpha0.1_cfgFedAvg_CIFAR10_config_exp3.txt,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_146.out,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_146.err,False
CIFAR10,vgg19,non-iid,FangAttack,FLDetector,FedAvg,200,20,0.05,0.3,0.5,45,3,121,max_epoch_lt_target,time_limit,slurm time limit,/home/fengye/scratch/FL_Poison/logs_from_slurm_split_20260312/FedAvg/CIFAR10_vgg19/non-iid/CIFAR10_vgg19_non-iid_FangAttack_FLDetector_200_20_0.05_FedAvg_adv0.3_seed45_alpha0.5_cfgFedAvg_CIFAR10_config_exp3.txt,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_236.out,/home/fengye/slurm/compute_canada_flpoison_CIFAR10.sh_24606948_236.err,False
